STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,URB,PT_RESP,_T,_T,_T,2024,19.42659522,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Urban area,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,_T,LFP_OUTWORK,_T,2024,20.97677046,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Employment: Out of the workforce/labor force,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,_T,LFP_INWORK,_T,2024,22.76415058,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Employment: In the workforce/labor force,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_GE_2_3,2024,25.46008122,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Secondary education or more,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_0T1,2024,16.77802121,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Primary education or less,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5N,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,2.441580202,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, Never",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6W,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,5.866392268,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, weekly",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6M,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,14.44665601,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, monthly",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6M,M,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,14.47649999,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, monthly",Male,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6M,F,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,14.4165654,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, monthly",Female,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6M,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,18.4097596,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, monthly",Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
